race,distance,latitude,longitude,elevation,elevation_delta
10 km,0.0,55.72177000000001,37.55321,123.00000000000001,0.0
10 km,0.09177827529857258,55.72236000842197,37.55219003087021,122.68,-0.3200000000000074
10 km,0.18355655946635382,55.72295000839352,37.551170030920034,122.51,-0.1700000000000017
10 km,0.27533486584893263,55.72354000000001,37.55015,122.00000000000001,-0.5099999999999909
10 km,0.3191512236194253,55.72382,37.54966,122.29,0.28999999999999204
10 km,0.3437483727508919,55.72399000000001,37.54941,122.29,0.0
10 km,0.39522482204692383,55.724380000000004,37.548970000000004,122.53000000000002,0.2400000000000091
10 km,0.4630266146800223,55.724916668827724,37.548460013972594,122.8,0.2699999999999818
10 km,0.5308284132737753,55.72545333554291,37.547950013926716,122.91,0.10999999999999943
10 km,0.5986301994523088,55.72599,37.54744,122.00000000000001,-0.9099999999999824
10 km,0.6790647862132064,55.72598000000001,37.54616,121.00000000000001,-1.0
10 km,0.6896168949085208,55.726040000000005,37.54603,121.00000000000001,0.0
10 km,0.6960090611335814,55.726090000000006,37.54598,121.00000000000001,0.0
10 km,0.7026892715912431,55.726150000000004,37.54598,121.00000000000001,0.0
10 km,0.7060879630249264,55.72618000000001,37.54599,121.00000000000001,0.0
10 km,0.7640268679943744,55.726560000000006,37.546620000000004,121.55,0.549999999999983
10 km,0.7930416902175474,55.72673,37.54697,120.0,-1.5499999999999972
10 km,0.8440342390353246,55.726980000000005,37.547650000000004,124.00000000000001,4.000000000000014
10 km,0.8833962947073334,55.72674000000001,37.54719,124.36000000000001,0.35999999999999943
10 km,0.8846747226922197,55.72675,37.547200000000004,124.35000000000001,-0.010000000000005116
10 km,0.9228216093365977,55.726980000000005,37.547650000000004,124.00000000000001,-0.3499999999999943
10 km,0.9327063518201334,55.727030000000006,37.54778,124.00000000000001,0.0
10 km,1.0273984982472106,55.727430000000005,37.549110000000006,128.0,3.999999999999986
10 km,1.0423001932709346,55.72748000000001,37.549330000000005,127.0,-1.0
10 km,1.129150479131826,55.726780000000005,37.54994000000001,127.0,0.0
10 km,1.135542618676648,55.72673,37.54999,127.0,0.0
10 km,1.2309070547798824,55.725970000000004,37.55069,128.0,1.0
10 km,1.2462599299528203,55.725910000000006,37.550470000000004,128.0,0.0
10 km,1.291387023353144,55.725550000000005,37.5508,126.86,-1.1400000000000006
10 km,1.3326095131527294,55.72523,37.55113,126.32000000000001,-0.539999999999992
10 km,1.3777037465251873,55.72489,37.551520000000004,125.31,-1.0100000000000051
10 km,1.4024118562963412,55.72471,37.551750000000006,125.31,0.0
10 km,1.4271199660675642,55.72489,37.551520000000004,125.31,0.0
10 km,1.4722141994401123,55.72523,37.55113,126.32000000000001,1.0100000000000051
10 km,1.513436689239577,55.725550000000005,37.5508,126.86,0.539999999999992
10 km,1.5585637826395569,55.725910000000006,37.550470000000004,128.0,1.1400000000000006
10 km,1.5739166578125776,55.725970000000004,37.55069,128.0,0.0
10 km,1.6692810939158154,55.72673,37.54999,127.0,-1.0
